kanji	count	freq	freq_cum	jouyou	jouyou_pos
一	221837	0.0098116	0.0856154	1	3
丁	3772	0.000166831	0.920333	3	397
七	5686	0.000251485	0.879482	1	71
万	25804	0.00114128	0.574057	2	142
丈	52308	0.00231352	0.382319	7	1011
三	34783	0.00153841	0.494888	1	34
上	96588	0.00427198	0.246166	1	16
下	66921	0.00295984	0.303916	1	21
不	37094	0.00164063	0.480596	4	452
与	5338	0.000236094	0.885072	7	1139
丑	139	6.14782e-06	0.997994	0	0
且	110	4.86518e-06	0.99842	7	2024
世	36975	0.00163536	0.482232	3	266
丘	1330	5.88244e-05	0.975631	7	1482
丙	14	6.19204e-07	0.999842	7	2116
丞	892	3.94522e-05	0.984583	0	0
両	8423	0.00037254	0.824911	3	361
並	4351	0.00019244	0.908706	6	909
中	98114	0.00433947	0.241894	1	15
串	288	1.27379e-05	0.995803	7	1893
丸	9209	0.000407304	0.811904	2	206
丹	3890	0.00017205	0.917955	7	1206
主	26476	0.001171	0.56603	3	288
丼	1373	6.07263e-05	0.975096	7	1476
乃	7336	0.000324463	0.841983	0	0
久	24637	0.00108967	0.589632	5	650
之	11478	0.000507659	0.767833	0	0
乏	1617	7.15181e-05	0.969781	7	1424
乖	3	1.32687e-07	0.999969	0	0
乗	16413	0.000725929	0.687025	3	321
乙	1982	8.76617e-05	0.961228	7	1365
九	4335	0.000191732	0.908897	1	75
乞	231	1.02169e-05	0.996674	7	1932
也	10901	0.000482139	0.77917	0	0
乱	3573	0.00015803	0.926023	6	926
乳	1863	8.23984e-05	0.964194	6	961
乾	4819	0.000213139	0.898445	7	1165
亀	3750	0.000165858	0.921331	7	1214
了	5910	0.000261393	0.873577	7	1126
予	12131	0.000536541	0.755339	3	343
争	4387	0.000194032	0.907355	4	578
事	282112	0.0124775	0.043372	3	241
二	29620	0.00131006	0.536348	1	38
云	34	1.50378e-06	0.999562	0	0
互	3846	0.000170104	0.919324	7	1209
五	9479	0.000419246	0.805712	1	59
井	40121	0.00177451	0.453247	7	1015
亘	492	2.17606e-05	0.992315	0	0
些	129	5.70553e-06	0.998141	0	0
亜	9992	0.000441935	0.795807	7	1073
亞	134	5.92667e-06	0.99806	0	0
亡	13863	0.000613145	0.72214	6	839
亢	12	5.30747e-07	0.999856	0	0
交	9417	0.000416503	0.806545	2	202
亥	125	5.52861e-06	0.998203	0	0
亦	18	7.9612e-07	0.999789	0	0
亨	261	1.15437e-05	0.996251	0	0
享	300	1.32687e-05	0.995597	7	1882
京	22302	0.000986393	0.621807	2	148
亭	1634	7.227e-05	0.969638	7	1422
亮	3548	0.000156924	0.926653	0	0
人	347070	0.0153505	0.0308945	1	1
什	9	3.9806e-07	0.9999	0	0
仁	3645	0.000161214	0.923952	6	921
仄	2	8.84578e-08	0.999988	0	0
仇	561	2.48124e-05	0.990762	0	0
今	185056	0.00818482	0.120277	2	84
介	18849	0.00083367	0.656099	7	1035
仍	1	4.42289e-08	0.999999	0	0
仏	2108	9.32345e-05	0.958876	5	794
仔	64	2.83065e-06	0.999105	0	0
仕	55037	0.00243423	0.36572	3	251
他	14846	0.000656622	0.707605	3	327
仗	3	1.32687e-07	0.999968	0	0
付	34258	0.00151519	0.497935	4	454
仙	2303	0.000101859	0.954877	7	1333
仝	3	1.32687e-07	0.999973	0	0
代	45800	0.00202568	0.420909	3	258
令	3910	0.000172935	0.917266	4	588
以	26884	0.00118905	0.564859	4	463
仮	3094	0.000136844	0.937336	5	770
仰	1402	6.20089e-05	0.974173	7	1467
仲	13915	0.000615445	0.720914	4	495
件	43237	0.00191232	0.438547	5	642
任	24122	0.00106689	0.598248	5	651
企	6495	0.000287267	0.860418	7	1107
伊	12930	0.00057188	0.740435	0	0
伍	52	2.2999e-06	0.999303	0	0
伎	417	1.84434e-05	0.993598	7	1802
伏	2023	8.9475e-05	0.960608	7	1362
伐	285	1.26052e-05	0.995879	7	1896
休	13336	0.000589836	0.729987	1	52
会	101035	0.00446867	0.233133	2	93
伜	110	4.86518e-06	0.998425	0	0
伝	22733	0.00100546	0.616847	4	470
伯	3107	0.000137419	0.936925	7	1255
伴	1434	6.34242e-05	0.973672	7	1463
伶	13	5.74976e-07	0.999854	0	0
伸	3495	0.00015458	0.9279	7	1232
伺	5010	0.000221587	0.892615	7	1155
似	9864	0.000436274	0.798879	5	694
伽	138	6.10359e-06	0.998	0	0
佃	1400	6.19204e-05	0.974297	0	0
但	282	1.24725e-05	0.995929	7	1899
佇	32	1.41532e-06	0.9996	0	0
位	4897	0.000216589	0.8948	4	566
低	5566	0.000246178	0.881966	4	555
住	12581	0.000556444	0.746051	3	340
佐	24576	0.00108697	0.590719	7	1026
佑	897	3.96733e-05	0.984543	0	0
体	42034	0.00185912	0.444147	2	119
何	351445	0.015544	0.015544	2	81
佗	1	4.42289e-08	0.999997	0	0
余	8914	0.000394256	0.81912	5	699
佚	2	8.84578e-08	0.99998	0	0
佛	14	6.19204e-07	0.999841	0	0
作	45284	0.00200286	0.424916	2	117
你	1	4.42289e-08	0.999991	0	0
佩	1	4.42289e-08	0.999993	0	0
佳	6563	0.000290274	0.858689	7	1105
併	1057	4.67499e-05	0.981849	7	1569
佶	1	4.42289e-08	0.999996	0	0
佻	2	8.84578e-08	0.999976	0	0
佾	2	8.84578e-08	0.999988	0	0
使	28252	0.00124955	0.54525	3	283
侃	5	2.21144e-07	0.999944	0	0
來	15	6.63433e-07	0.999825	0	0
侈	1	4.42289e-08	0.999993	0	0
例	9519	0.000421015	0.804451	4	527
侍	1450	6.41319e-05	0.973162	7	1455
侏	2	8.84578e-08	0.999985	0	0
侑	237	1.04822e-05	0.996591	0	0
侘	6	2.65373e-07	0.99994	0	0
供	25669	0.00113531	0.576328	6	828
依	5093	0.000225258	0.890837	7	1148
侠	55	2.43259e-06	0.999263	0	0
価	4834	0.000213802	0.897164	5	749
侮	365	1.61435e-05	0.994355	7	1835
侯	50	2.21144e-06	0.999324	7	2077
侵	1674	7.40392e-05	0.968761	7	1414
侶	157	6.94394e-06	0.997746	7	1987
便	3418	0.000151174	0.929725	4	595
係	24917	0.00110205	0.586342	3	295
促	430	1.90184e-05	0.993336	7	1795
俄	24	1.06149e-06	0.999712	0	0
俊	4361	0.000192882	0.908128	7	1182
俎	16	7.07662e-07	0.999817	0	0
俑	4	1.76916e-07	0.999957	0	0
俗	734	3.2464e-05	0.987689	7	1663
俘	1	4.42289e-08	0.999992	0	0
保	19884	0.000879447	0.642452	5	659
信	44330	0.00196067	0.430838	4	449
俣	493	2.18048e-05	0.992271	0	0
俥	20	8.84578e-07	0.999763	0	0
修	7391	0.000326896	0.840354	5	716
俯	14	6.19204e-07	0.999837	0	0
